TOTAL ENERGY AND FORCE IN THE NETWORK AT EVERY TIME STEP
TOTAL TIME STEPS = 1000
timestep	f_total	f_elasticity	f_contraction	f_adhesion	f_motility	e_total	e_elasticity	e_adhesion	e_contraction
0	117.763	102.123	45.015	16.4316	19.1819	101.12	17.2306	47.8262	36.0628
0.01	112.28	99.4663	45.4451	16.3432	20.7328	100.472	16.6727	47.8073	35.9918
0.02	107.788	97.0743	43.2309	15.7534	21.2752	99.8759	16.1778	47.7837	35.9144
0.03	105.922	94.7562	42.7499	15.6184	24.3778	99.3261	15.7052	47.7683	35.8525
0.04	99.6042	92.6401	42.2001	15.4463	22.3327	98.8154	15.2702	47.7528	35.7925
0.05	101.296	90.725	41.0644	15.1202	23.2366	98.3474	14.8771	47.7369	35.7334
0.06	95.9485	88.8547	41.9148	15.3508	21.9372	97.904	14.4963	47.7262	35.6815
0.07	95.8008	87.1675	40.3221	14.8823	22.0411	97.4963	14.154	47.7125	35.6298
0.08	94.0391	85.4885	40.1451	14.8375	22.7992	97.0995	13.8144	47.7023	35.5828
0.09	90.856	83.9113	39.4445	14.6248	20.5394	96.719	13.4926	47.6916	35.5348
0.1	87.9178	82.3861	40.9195	15.0541	23.8057	96.365	13.1881	47.6841	35.4928
0.11	87.4536	80.9494	38.8085	14.4316	21.8967	96.0293	12.9087	47.6734	35.4472
0.12	83.2826	79.5771	38.6076	14.3893	23.0716	95.7066	12.6415	47.6632	35.402
0.13	80.6727	78.2724	38.8317	14.4474	22.4438	95.4087	12.392	47.6551	35.3615
0.14	83.9758	77.0923	39.2221	14.5487	20.2011	95.1338	12.1633	47.647	35.3235
0.15	79.5705	75.8622	38.5169	14.3424	20.0542	94.8567	11.9284	47.6413	35.287
0.16	77.9353	74.7438	37.6682	14.0766	23.1834	94.595	11.7152	47.6323	35.2474
0.17	77.4591	73.6605	37.2919	13.9222	23.4539	94.3366	11.5047	47.6244	35.2075
0.18	76.8056	72.629	39.0279	14.4506	23.226	94.0934	11.305	47.6171	35.1713
0.19	74.0441	71.6721	36.944	13.8106	21.9949	93.8641	11.1227	47.6076	35.1338
0.2	71.9882	70.7079	36.75	13.7616	21.9784	93.6393	10.9392	47.6003	35.0998
0.21	71.9938	69.7731	36.7491	13.769	21.5687	93.4253	10.7658	47.5933	35.0662
0.22	72.489	68.901	37.5399	13.9645	24.6669	93.2145	10.6	47.5847	35.0299
0.23	71.5597	68.0442	36.8353	13.7765	20.2423	93.0125	10.4364	47.5785	34.9977
0.24	70.8312	67.2406	36.1342	13.5569	22.2851	92.8088	10.2784	47.5698	34.9606
0.25	66.9981	66.4777	35.766	13.4217	22.4417	92.6206	10.1265	47.5639	34.9302
0.26	68.6711	65.7541	35.419	13.2931	22.8423	92.441	9.98929	47.5552	34.8966
0.27	67.9709	65.0288	37.1878	13.7832	24.4313	92.264	9.84285	47.5518	34.8693
0.28	66.2094	64.3758	35.116	13.1957	22.6311	92.0953	9.71129	47.5449	34.8391
0.29	66.2178	63.7144	34.9229	13.1002	20.8715	91.9256	9.57945	47.5384	34.8077
0.3	63.9596	63.0421	34.8629	13.0758	23.9776	91.7604	9.44866	47.5325	34.7793
0.31	63.692	62.4439	34.8381	13.0685	22.7003	91.6024	9.32619	47.5265	34.7497
0.32	62.2241	61.8107	35.7629	13.3133	22.3239	91.4541	9.20647	47.5224	34.7252
0.33	58.8885	61.2591	34.2542	12.8946	20.7437	91.3066	9.09682	47.5149	34.6949
0.34	61.0383	60.7099	34.1823	12.8608	20.3891	91.1625	8.98778	47.5083	34.6665
0.35	58.302	60.183	34.0466	12.8158	20.9182	91.0238	8.88311	47.5018	34.6389
0.36	64.1408	59.6653	35.7816	13.3015	22.5648	90.8927	8.78225	47.497	34.6135
0.37	58.848	59.2036	33.7261	12.7135	22.2759	90.7531	8.68306	47.488	34.582
0.38	58.4395	58.7103	33.4756	12.6192	21.8784	90.6245	8.58778	47.4816	34.5551
0.39	56.5076	58.235	33.2734	12.556	22.8051	90.4954	8.48921	47.4768	34.5294
0.4	58.492	57.8014	33.0582	12.4924	23.5684	90.3745	8.40438	47.4685	34.5017
0.41	58.3249	57.3476	33.4466	12.6157	20.9795	90.2509	8.3118	47.4633	34.4758
0.42	58.5068	56.8716	34.0088	12.7643	23.0405	90.1372	8.22116	47.4608	34.4553
0.43	55.541	56.4554	32.5309	12.3432	20.7668	90.0165	8.13585	47.4537	34.4269
0.44	55.9748	56.0118	32.7575	12.4113	22.6191	89.9055	8.04891	47.4509	34.4057
0.45	53.5827	55.634	32.9405	12.4497	22.3605	89.7921	7.96278	47.4467	34.3826
