TOTAL ENERGY AND FORCE IN THE NETWORK AT EVERY TIME STEP
TOTAL TIME STEPS = 1000
timestep	f_total	f_elasticity	f_contraction	f_adhesion	f_motility	e_total	e_elasticity	e_adhesion	e_contraction	shape
0	95.2871	84.8819	40.8386	15.8232	25.2648	92.579	9.16177	48.9243	34.4929	4.07703
0.01	90.5605	81.667	40.9909	15.7441	19.9484	92.1099	8.82324	48.8783	34.4083	4.0732
0.02	87.4092	79.728	39.3354	15.2128	25.9987	91.711	8.53775	48.8398	34.3334	4.06998
0.03	87.1667	78.1061	38.6506	14.9955	25.1441	91.3773	8.28919	48.8121	34.2761	4.06767
0.04	84.8897	76.561	38.1193	14.837	22.6323	91.0608	8.05155	48.7869	34.2223	4.06557
0.05	83.8947	75.1588	37.9029	14.7736	21.542	90.7594	7.82684	48.7626	34.1699	4.06355
0.06	82.4557	73.8278	38.8184	15.026	20.3107	90.4771	7.61603	48.7401	34.121	4.06168
0.07	77.4865	72.5315	37.1381	14.524	23.2875	90.213	7.41855	48.7193	34.0752	4.05994
0.08	77.2963	71.3061	36.8052	14.405	23.3068	89.9656	7.23078	48.7015	34.0334	4.05845
0.09	75.2855	70.1559	36.6227	14.3467	25.8665	89.7286	7.05823	48.6808	33.9895	4.05673
0.1	74.5821	68.9262	38.2936	14.7905	19.0934	89.5079	6.87581	48.6698	33.9623	4.05581
0.11	73.7175	67.915	36.437	14.2501	23.6837	89.2887	6.72233	48.6484	33.9179	4.05404
0.12	71.7409	66.8736	36.0283	14.1262	23.0678	89.0781	6.56831	48.6311	33.8787	4.05259
0.13	71.0554	65.294	35.9964	14.0775	23.8252	88.8473	6.39565	48.6143	33.8373	4.05119
0.14	72.4092	64.3486	37.5517	14.5586	21.8505	88.6502	6.25409	48.5974	33.7986	4.04979
0.15	67.4862	63.5209	35.3479	13.8755	22.2923	88.4624	6.12433	48.5793	33.7588	4.04827
0.16	66.5991	62.6729	35.026	13.7768	21.6401	88.2826	5.99816	48.5629	33.7216	4.04691
0.17	66.2107	61.3262	35.7416	13.9693	23.8469	88.0473	5.84703	48.5365	33.6638	4.04471
0.18	67.5204	60.6054	35.3513	13.8057	25.1326	87.8854	5.73871	48.5191	33.6277	4.04325
0.19	66.524	59.8563	34.9041	13.7172	20.5176	87.7226	5.63037	48.5015	33.5907	4.04179
0.2	65.42	59.1415	34.3573	13.5004	21.1275	87.5643	5.52489	48.4846	33.5548	4.04039
0.21	63.4163	58.4525	35.0893	13.7679	23.5786	87.4108	5.42076	48.4689	33.5211	4.03908
0.22	63.4997	57.1304	33.7391	13.2969	21.5818	87.1694	5.27772	48.4378	33.4539	4.03649
0.23	64.0907	56.1701	33.5266	13.1719	20.5217	86.9825	5.15941	48.4153	33.4078	4.03461
0.24	60.8752	55.5117	33.2871	13.0867	23.3667	86.8313	5.06278	48.3974	33.3711	4.03312
0.25	61.72	54.8929	33.0661	13.0051	23.679	86.6905	4.97371	48.3804	33.3364	4.0317
0.26	61.869	54.2892	32.8461	12.9293	22.7682	86.548	4.88077	48.3646	33.3026	4.03038
0.27	60.4723	53.6863	32.6439	12.8637	22.628	86.4107	4.79379	48.3482	33.2687	4.02902
0.28	58.0032	53.1659	32.4454	12.7983	22.3654	86.2776	4.71141	48.3315	33.2346	4.02763
0.29	59.8715	52.6459	32.2651	12.7399	21.8873	86.1503	4.63313	48.3155	33.2017	4.02629
0.3	58.9289	52.1193	32.0662	12.6762	20.5065	86.0209	4.55149	48.3002	33.1692	4.02502
