timestep = 0
vx	vy
5.72309	9.43256	
6.70501	9.22855	
6.22657	5.07665	
8.91448	4.92296	
8.77077	4.9565	
9.43555	7.2311	
1.10522	9.78192	
8.16735	3.8439	
5.86483	4.05583	
6.59688	3.82949	
4.14857	6.12147	
6.503	7.89337	
4.9153	7.12342	
4.97783	7.39761	
4.87546	7.8983	
4.21804	6.55895	
2.32537	7.44711	
2.47522	7.09724	
3.81884	7.28957	
3.79843	7.73024	
6.63192	4.88209	
6.89116	4.08441	
7.50975	4.14264	
7.32018	4.07197	
7.36544	5.89805	
5.03605	4.6234	
4.25816	5.54403	
4.26531	5.93607	
9.69933	6.51159	
9.97469	6.05797	
9.98026	5.91329	
1.63668	7.56178	
1.04515	6.96793	
0.938686	9.81031	
9.59354	8.31421	
9.10147	7.4179	
9.5755	8.64079	
9.86297	9.69992	
7.72737	8.10691	
6.79387	9.04434	
6.60115	9.21314	
8.72586	3.57458	
8.21409	3.75361	
8.29982	2.51793	
1.3653	3.52454	
1.22807	2.36272	
9.42795	3.47594	
9.3131	4.39588	
4.00874	5.22155	
2.47484	6.7307	
2.77767	6.12693	
1.22501	6.42946	
3.61421	8.11866	
1.02673	9.71218	
7.47196	5.7831	
7.16622	5.16467	
7.60846	4.56401	
8.28199	5.6229	
8.42183	5.28345	
6.07674	5.27305	
6.00743	5.30759	
6.92235	5.85249	
9.59578	5.98173	
9.16534	6.47045	
8.76154	7.33081	
8.71055	6.66031	
7.53275	7.92115	
8.49376	6.00047	
8.51864	6.02166	
7.09892	7.89026	
7.10754	7.52272	
7.02678	7.8082	
7.02368	7.77932	
9.4959	8.83134	
9.4978	8.76292	
9.32709	8.70931	
8.23914	8.90995	
7.10297	9.26203	
8.50136	9.72282	
8.52691	9.46841	
8.46178	9.37053	
0.308619	9.9076	
6.57133	3.33146	
1.61362	3.17948	
1.63582	3.07782	
0.197237	1.61308	
9.9338	0.885339	
9.66865	3.22237	
9.3699	2.24669	
2.58656	5.84158	
4.97157	9.12176	
3.90145	8.29413	
5.09343	8.39129	
4.99606	8.26602	
3.54021	8.16073	
3.29102	8.80144	
2.47607	7.72078	
2.59528	9.13915	
1.1778	9.26939	
1.14339	8.8575	
6.38056	6.19618	
6.9858	7.73818	
5.74849	5.85345	
0.467615	7.84682	
1.13212	8.44859	
1.16083	8.66338	
1.12829	8.80404	
0.511942	7.16346	
0.428736	7.26667	
3.8473	9.57793	
3.78048	9.72056	
4.68678	9.27336	
4.65827	9.26977	
5.06518	4.25634	
5.73085	4.02229	
6.96133	2.77775	
7.42039	2.91501	
8.02098	2.6329	
7.82399	2.86927	
6.47938	1.67981	
5.75836	3.01984	
5.67246	3.05747	
0.206224	4.66921	
0.467366	4.02861	
0.459005	3.72635	
3.08242	2.26724	
2.87588	2.64823	
1.74513	1.46613	
1.17347	1.83214	
0.668499	1.62677	
9.0232	0.246366	
9.54095	0.785793	
8.5308	1.09041	
9.79502	3.25497	
2.54809	5.60821	
2.80377	4.83152	
3.36228	5.16071	
1.70761	4.61546	
1.70051	4.75733	
2.46404	3.87215	
2.65556	3.87744	
2.50833	4.95635	
2.37318	5.07158	
1.31922	4.81274	
1.5713	4.83034	
0.334698	5.13853	
1.1466	6.07198	
1.25081	5.96599	
0.0574034	5.71132	
0.156188	5.67573	
2.37181	8.79129	
2.15725	8.39849	
2.42763	7.94439	
2.85596	8.91619	
2.63682	9.05829	
5.59851	5.95153	
5.65766	5.92817	
5.55986	6.90931	
6.58151	7.44539	
9.02573	0.132626	
2.71601	1.32803	
2.9279	1.49102	
3.20538	1.3887	
2.62487	0.235052	
2.64193	0.216049	
6.00091	1.33349	
5.50376	0.71281	
4.93928	1.989	
4.5256	1.2847	
4.5882	1.66965	
2.96259	3.75568	
3.0779	3.50068	
3.72352	4.53964	
3.30439	4.42257	
4.7942	3.95555	
4.25243	3.78734	
4.1509	3.62076	
5.2525	2.95594	
4.78928	2.38691	
4.21541	2.6621	
8.45324	1.16119	
9.32985	0.956754	
8.89717	2.05099	
8.92705	2.09715	
9.25961	2.19694	
4.78615	0.839448	
5.23081	0.631635	
4.04354	0.674877	
3.98585	0.762605	
7.96099	0.0119327	
8.19383	1.02274	
7.76299	0.664833	
7.63573	1.76109	
7.48238	1.83919	
6.32168	1.38847	
6.48656	1.67837	
4.05139	0.4603	
4.84615	0.271762	
6.50826	1.14854	
7.60141	0.697111	
timestep = 0.01
vx	vy
5.72851	9.42734	
6.70008	9.22574	
6.22627	5.07408	
8.91581	4.92438	
8.77113	4.95455	
9.43869	7.23011	
1.1105	9.78653	
8.16869	3.84497	
5.86556	4.05828	
6.59622	3.82942	
4.14567	6.12365	
6.50281	7.90405	
4.9178	7.12125	
4.98031	7.39656	
4.87486	7.89323	
4.21682	6.55836	
2.32454	7.44636	
2.47996	7.0922	
3.81529	7.28303	
3.80181	7.72656	
6.63309	4.88121	
6.89101	4.08416	
7.51199	4.14245	
7.32086	4.06747	
7.36491	5.89925	
5.03471	4.62817	
4.25878	5.54056	
4.26786	5.93362	
9.69825	6.51242	
9.97938	6.06014	
9.97885	5.9116	
1.63439	7.56016	
1.04514	6.9675	
0.935974	9.81031	
9.59066	8.31321	
9.10074	7.42172	
9.57592	8.6452	
9.86375	9.69596	
7.72954	8.10342	
6.79201	9.04286	
6.59338	9.21695	
8.72834	3.56949	
8.21397	3.75309	
8.30634	2.52108	
1.36164	3.52401	
1.2292	2.3577	
9.42567	3.47591	
9.31544	4.39523	
4.00732	5.22107	
2.47557	6.73043	
2.78016	6.1285	
1.22674	6.4303	
3.61524	8.11874	
1.02748	9.714	
7.47324	5.78217	
7.16891	5.16212	
7.60988	4.56484	
8.28355	5.62522	
8.42197	5.28181	
6.07989	5.2723	
6.0009	5.30908	
6.92102	5.85335	
9.59346	5.97684	
9.1683	6.46986	
8.75782	7.33	
8.70744	6.65985	
7.53671	7.92141	
8.49658	6.00658	
8.51747	6.01892	
7.09455	7.88961	
7.11648	7.52144	
7.02466	7.81064	
7.0233	7.77524	
9.49909	8.83365	
9.49734	8.76018	
9.32668	8.69959	
8.23593	8.91284	
7.1081	9.25549	
8.5018	9.72378	
8.53012	9.46844	
8.45622	9.36381	
0.309337	9.9066	
6.57103	3.32848	
1.61507	3.17899	
1.63845	3.06573	
0.201126	1.61519	
9.93499	0.883554	
9.67199	3.21905	
9.37689	2.24886	
2.58454	5.83935	
4.98113	9.11595	
3.90343	8.29655	
5.10436	8.40029	
4.99495	8.26472	
3.54019	8.15927	
3.29159	8.80294	
2.47684	7.72114	
2.59392	9.14468	
1.17826	9.27349	
1.14491	8.85867	
6.38485	6.19659	
6.985	7.73311	
5.74728	5.85356	
0.46659	7.84562	
1.13028	8.44463	
1.16129	8.65761	
