timestep = 0
vx	vy
6.81204	8.59159	
3.8387	6.87803	
4.14569	7.44726	
8.39167	7.21072	
9.13364	0.864298	
8.08171	2.74277	
5.78481	3.1966	
5.8179	5.35077	
8.87249	4.01278	
8.39767	6.93012	
7.39369	5.84429	
4.46449	1.7005	
7.03704	0.07166	
0.330162	8.13143	
2.31259	6.49254	
1.64697	4.27467	
2.26588	2.04135	
4.11484	1.50107	
0.15995	0.463051	
0.276721	4.41348	
timestep = 0.01
vx	vy
6.81828	8.5779	
3.77917	6.8161	
4.14569	7.44726	
8.41548	7.22284	
9.0979	0.904504	
8.13938	2.73027	
5.78481	3.1966	
5.8179	5.35077	
8.86686	3.9314	
8.42374	6.95095	
7.36517	5.82365	
4.47823	1.73855	
7.03637	0.0561461	
0.330162	8.13143	
2.31259	6.49254	
1.73587	4.26043	
2.36584	1.99629	
4.11484	1.50107	
0.15995	0.463051	
0.300472	4.44231	
timestep = 0.02
vx	vy
6.8259	8.56475	
3.73057	6.76792	
4.14569	7.44726	
8.43893	7.23299	
9.06884	0.939881	
8.1938	2.71604	
5.64681	3.22938	
5.8179	5.35077	
8.86713	3.85934	
8.44463	6.9692	
7.33968	5.8068	
4.49919	1.76008	
7.03705	0.0439773	
0.330162	8.13143	
2.31259	6.49254	
1.80725	4.24949	
2.45042	1.95071	
4.11484	1.50107	
0.15995	0.463051	
0.32482	4.45388	
timestep = 0.03
vx	vy
6.83125	8.5516	
3.69016	6.73592	
4.14569	7.44726	
8.45838	7.24196	
9.04312	0.972302	
8.24174	2.70066	
5.54025	3.24897	
5.8179	5.35077	
8.86917	3.79545	
8.46182	6.98686	
7.31515	5.79043	
4.51691	1.77356	
7.03673	0.036152	
0.330162	8.13143	
2.31259	6.49254	
1.85933	4.24282	
2.51876	1.90538	
4.11484	1.50107	
0.15995	0.463051	
0.348818	4.45732	
timestep = 0.04
vx	vy
6.83737	8.54118	
3.65831	6.71716	
4.14569	7.44726	
8.47428	7.25088	
9.02103	1.00233	
8.28399	2.68351	
5.45758	3.25905	
5.8179	5.35077	
8.87167	3.73628	
8.47498	7.00157	
7.29096	5.77334	
4.53234	1.78357	
7.03756	0.0324018	
0.330162	8.13143	
2.31259	6.49254	
1.89774	4.23812	
2.57711	1.86479	
4.11484	1.50107	
0.15995	0.463051	
0.371183	4.45289	
timestep = 0.05
vx	vy
6.84284	8.53077	
3.63166	6.70429	
4.14569	7.44726	
8.48695	7.25808	
9.00277	1.02778	
8.3211	2.66597	
5.39254	3.26291	
5.8179	5.35077	
8.876	3.68235	
8.4871	7.01446	
7.26858	5.75721	
4.54363	1.79076	
7.03797	0.0294796	
0.330162	8.13143	
2.31259	6.49254	
1.92679	4.23386	
2.62669	1.8265	
4.11484	1.50107	
0.15995	0.463051	
0.394098	4.44426	
timestep = 0.06
vx	vy
6.84835	8.5217	
3.61294	6.69526	
4.14569	7.44726	
8.49863	7.26396	
8.98634	1.05144	
8.35206	2.65072	
5.34177	3.26302	
5.8179	5.35077	
8.88007	3.6343	
8.49801	7.02402	
7.24829	5.74148	
4.55227	1.79646	
7.03728	0.0288891	
0.330162	8.13143	
2.31259	6.49254	
1.94995	4.23017	
