TOTAL ENERGY AND FORCE IN THE NETWORK AT EVERY TIME STEP
TOTAL TIME STEPS = 7000
timestep             f_total        f_elasticity       f_contraction          f_adhesion             e_total        e_elasticity          e_adhesion       e_contraction
0             247.822             215.119             247.822             19.5193             1179.22             39.8057             72.7496             1121.23
0.1             247.825             215.092             247.825             19.5268             1179.24             39.7908             72.7501             1121.26
0.2             247.829             215.065             247.829             19.5363             1179.25             39.7756             72.7506             1121.29
0.3             247.833             215.038             247.833             19.5497             1179.27             39.7602             72.7512             1121.32
0.4             247.837              215.01             247.837             19.5727             1179.29             39.7445             72.7517             1121.36
0.5             247.841             214.982             247.841             19.6269             1179.31             39.7285             72.7523             1121.39
0.6             247.845             214.954             247.845             19.8584             1179.33             39.7122             72.7531             1121.43
0.7             247.849             214.925             247.849             20.1655             1179.35             39.6957             72.7547             1121.47
0.8             247.854             214.897             247.854             20.1872             1179.38             39.6789             72.7567             1121.51
0.9             247.859             214.868             247.859             20.1883              1179.4             39.6619             72.7588             1121.55
1             247.864             214.839             247.864             20.1878             1179.43             39.6446             72.7609             1121.59
1.1             247.869             214.809             247.869             20.1873             1179.46             39.6271             72.7631             1121.64
1.2             247.874             214.779             247.874             20.1871             1179.49             39.6093             72.7654             1121.69
1.3              247.88             214.749              247.88             20.1871             1179.52             39.5912             72.7677             1121.74
1.4             247.886             214.719             247.886             20.1872             1179.55             39.5729             72.7701             1121.79
1.5             247.892             214.688             247.892             20.1875             1179.59             39.5544             72.7726             1121.84
1.6             247.898             214.657             247.898             20.1878             1179.62             39.5356             72.7752             1121.89
1.7             247.905             214.626             247.905             20.1882             1179.66             39.5165             72.7778             1121.95
1.8             247.912             214.594             247.912             20.1937              1179.7             39.4972             72.7805             1122.01
1.9              247.92             214.562              247.92             20.2014             1179.75             39.4776             72.7832             1122.07
2             247.928             214.531             247.928             20.2093             1179.79             39.4578             72.7861             1122.14
2.1             247.936               214.5             247.936             20.2173             1179.84             39.4378              72.789              1122.2
2.2             247.945             214.468             247.945             20.2255             1179.89             39.4175              72.792             1122.27
2.3             247.954             214.436             247.954             20.2337             1179.94             39.3969             72.7951             1122.35
2.4             247.964             214.404             247.964             20.2418                1180             39.3761             72.7983             1122.42
2.5             247.974             214.372             247.974             20.2499             1180.05             39.3551             72.8016              1122.5
2.6             247.984             214.339             247.984             20.2578             1180.11             39.3338              72.805             1122.58
2.7             247.995             214.308             247.995             20.2656             1180.18             39.3123             72.8085             1122.66
2.8             248.007             214.276             248.007             20.2731             1180.24             39.2905             72.8121             1122.75
2.9             248.007             214.254             248.007             20.2813             1180.22             39.2774             72.8126             1122.74
3             248.006             214.232             248.006             20.2891             1180.21             39.2644             72.8132             1122.74
3.1             248.005             214.209             248.005             20.2966             1180.19             39.2514             72.8137             1122.73
3.2             248.004             214.187             248.004             20.3037             1180.17             39.2383             72.8142             1122.73
3.3             248.017             214.155             248.017             20.3095             1180.24             39.2166             72.8179             1122.82
3.4             248.016             214.133             248.016              20.316             1180.22             39.2033             72.8185             1122.82
3.5             248.016              214.11             248.016             20.3222             1180.21             39.1901             72.8191             1122.81
3.6             248.015             214.087             248.015             20.3281             1180.19             39.1769             72.8197             1122.81
3.7             248.014             214.064             248.014             20.3337             1180.17             39.1637             72.8202              1122.8
3.8             248.013             214.041             248.013              20.339             1180.16             39.1505             72.8208              1122.8
3.9             248.013             214.018             248.013             20.3441             1180.14             39.1373             72.8214              1122.8
4             248.012             213.995             248.012             20.3489             1180.12             39.1242              72.822             1122.79
4.1             248.011             213.972             248.011             20.3535              1180.1              39.111             72.8226             1122.79
4.2              248.01             213.949              248.01             20.3579             1180.09             39.0979             72.8232             1122.78
4.3             248.009             213.926             248.009             20.3621             1180.07             39.0848             72.8238             1122.78
4.4             248.009             213.902             248.009             20.3661             1180.05             39.0717             72.8244             1122.78
4.5             248.008             213.879             248.008               20.37             1180.04             39.0586             72.8251             1122.77
4.6             248.007             213.856             248.007             20.3736             1180.02             39.0455             72.8257             1122.77
4.7             248.006             213.833             248.006             20.3771                1180             39.0325             72.8263             1122.76
4.8             248.006              213.81             248.006             20.3805             1179.98             39.0195             72.8269             1122.76
4.9             248.005             213.786             248.005             20.3837             1179.97             39.0064             72.8276             1122.75
5             248.004             213.763             248.004             20.3868             1179.95             38.9934             72.8282             1122.75
5.1             248.003              213.74             248.003             20.3898             1179.93             38.9805             72.8288             1122.75
5.2             248.003             213.716             248.003             20.3926             1179.92             38.9675             72.8295             1122.74
5.3             248.002             213.693             248.002             20.3954              1179.9             38.9545             72.8301             1122.74
5.4             248.001              213.67             248.001              20.398             1179.88             38.9416             72.8307             1122.73
5.5                 248             213.646                 248             20.4005             1179.87             38.9287             72.8314             1122.73
5.6                 248             213.623                 248             20.4029             1179.85             38.9158              72.832             1122.73
5.7             247.999             213.599             247.999             20.4053             1179.83             38.9029             72.8327             1122.72
5.8             247.998             213.576             247.998             20.4075             1179.82               38.89             72.8333             1122.72
5.9             247.997             213.552             247.997             20.4097              1179.8             38.8772              72.834             1122.71
6             247.997             213.529             247.997             20.4118             1179.78             38.8644             72.8346             1122.71
6.1             247.996             213.505             247.996             20.4138             1179.77             38.8515             72.8353              1122.7
6.2             247.995             213.482             247.995             20.4158             1179.75             38.8387              72.836              1122.7
6.3             247.994             213.458             247.994             20.4177             1179.73              38.826             72.8366              1122.7
6.4             247.994             213.435             247.994             20.4195             1179.71             38.8132             72.8373             1122.69
6.5             247.993             213.411             247.993             20.4213              1179.7             38.8005             72.8379             1122.69
6.6             247.992             213.387             247.992              20.423             1179.68             38.7877             72.8386             1122.68
6.7             247.991             213.364             247.991             20.4246             1179.66              38.775             72.8393             1122.68
6.8             247.991              213.34             247.991             20.4262             1179.65             38.7623             72.8399             1122.68
6.9              247.99             213.316              247.99             20.4277             1179.63             38.7497             72.8406             1122.67
7             248.003             213.287             248.003             20.4294             1179.71             38.7301             72.8442             1122.76
7.1             248.002             213.263             248.002             20.4309             1179.69             38.7173             72.8449             1122.76
7.2             248.001             213.238             248.001             20.4323             1179.67             38.7044             72.8456             1122.76
