TOTAL ENERGY AND FORCE IN THE NETWORK AT EVERY TIME STEP
TOTAL TIME STEPS = 10
timestep             f_total        f_elasticity       f_contraction          f_adhesion          f_motility             e_total        e_elasticity          e_adhesion       e_contraction
0             144.807             65.2981              34.312             7.86497             111.026             152.484             7.15766             18.8685             140.609
0.1             141.649             62.4533             38.7657             7.53993             111.026               147.9             6.67616             19.3854             136.377
0.2             128.605             43.4485             44.8954             9.18425             111.026             133.333             6.68571             26.1603             120.108
0.3             120.924              39.413             41.1762             7.75725             111.026             127.764             4.64685             24.3278             117.035
0.4             155.668             73.6474             37.3686             8.47145             111.026             125.978             6.52674             24.1245              113.42
0.5             185.512             116.359             32.3112             8.23468             111.026             129.246             21.6773             25.3564             101.229
0.6             205.451             142.778             41.4539             9.43878             111.026             156.019             32.0971             25.3466             117.585
0.7             148.354             85.7659             43.9157             10.1525             111.026             138.547             10.0329             27.6643             121.598
0.8             174.237             117.093             48.8271             10.7622             111.026               146.6             18.8596             29.7265             120.308
0.9              145.86             99.8308             49.8543             11.2815             111.026             135.284             17.3532             33.2164             109.627
1             167.031             113.773             54.2259             11.1943             111.026             128.381             13.1919              34.714             106.511


List of the T1 transitions
T               v_id1               v_id2           e_length
T1                  28                  29                      0.092239
T1                  41                  42                      0.143932
T1                  28                  29                      0.164584
T1                  28                  29                      0.183718
T1                  28                  29                      0.183718
T1                  33                  34                      0.189687
T1                  37                  38                     0.0567288
T1                  38                  37                     0.0567288
T1                  13                  14                     0.0921113
T1                  33                  34                      0.177484
T1                  46                  47                      0.155355
T1                  47                  46                      0.155355
T1                   1                   2                     0.0734713
T1                  13                  14                     0.0924806
T1                  33                  34                      0.159471
T1                   0                   7                     0.0959812
T1                  13                  14                      0.128603
T1                  33                  34                      0.170764
T1                  32                  39                      0.144041
T1                  37                  38                     0.0709776
T1                  38                  37                     0.0709776
