timestep = 0
vx        vy
0.550744   6.04876         
0.0976154   0.23638         
0.426373   1.08746         
0.132687   1.67783         
0.222934   2.15561         
0.378256   2.80617         
0.271297   3.26633         
0.259571   5.06016         
1.26504     5.883         
1.30215  0.882316         
1.06455   1.41503         
1.52246   1.82253         
1.23409   2.25939         
1.46478   2.95037         
1.00717   3.41012         
1.37364    3.5897         
2.04783  0.206055         
2.3041  0.893657         
2.47676   1.33409         
2.09973   1.77422         
2.37922   2.60382         
1.8596   2.66143         
2.53511   3.28435         
1.71927   3.56601         
3.03628  0.106229         
3.45052  0.710308         
2.66802    1.1256         
3.20004     1.894         
3.43804   2.67755         
3.3478   2.65845         
3.2324   3.36009         
3.10054   4.20178         
4.02398  0.276978         
4.05539  0.616875         
3.83773   1.07078         
3.93488   1.98639         
4.35586   2.51032         
3.96693   2.88617         
4.0099    3.1805         
4.20538   4.36523         
4.90177  0.293797         
5.01748   0.81312         
5.05076  0.953153         
5.27046   1.43504         
4.95033   2.28424         
5.38905   3.22667         
4.91372   3.39549         
4.21409   3.81992         
timestep = 0.1
vx        vy
0.954976 0.0274185         
0.0880493   5.85988         
0.299517  0.926791         
7.82096   1.53939         
0.0731108   1.99712         
0.142879   2.92482         
7.84652   3.01518         
7.82923   4.63791         
1.06142   5.68622         
1.20693  0.718385         
0.970924   1.26274         
1.4332   1.68797         
1.12283     2.108         
1.36383   2.79794         
0.933657   3.30775         
1.26949   3.47144         
1.97522  0.122796         
2.17414   0.74131         
2.37331   1.19182         
2.01192   1.66161         
2.21956   2.58715         
1.82091   2.55386         
2.54535   3.09182         
1.64276   3.33607         
3.02273    5.9755         
3.34526  0.577026         
2.60496    1.0379         
3.14449   1.74054         
3.27192   2.61161         
3.21507     2.515         
3.07482   3.19617         
2.93794   4.16629         
3.8318  0.142703         
3.88659  0.448871         
3.69645  0.911061         
3.79874   1.77812         
4.39412   2.36954         
3.95875   2.73766         
3.90729   2.96594         
4.33181   4.15301         
5.14001  0.129015         
4.69373   1.01319         
4.93501  0.795839         
5.31569   1.19614         
5.00951   2.24983         
5.47976   2.76004         
4.80102   3.42722         
3.84936   3.75236         
timestep = 0.2
vx        vy
0.873617   5.83636         
0.204916   5.73151         
0.18667  0.765116         
7.70844   1.22656         
7.78437   1.85351         
7.79963   2.74773         
7.34544   2.90262         
0.0234579   4.72719         
1.01809    5.4733         
1.11118  0.549785         
0.881188   1.10929         
1.33999   1.55632         
1.0074   1.94924         
1.27137   2.64222         
0.87058   3.22355         
1.16077   3.35835         
1.90157 0.0590162         
2.05407   0.59256         
2.27621   1.05597         
1.92206   1.55105         
2.0707   2.52189         
1.76885    2.4264         
2.52068   2.92575         
1.56988   3.09863         
2.78761   5.84472         
3.2258   0.38532         
2.505  0.939921         
3.05964   1.63093         
3.11903   2.51718         
3.17064   2.52928         
3.19645   3.09348         
3.14359   3.87846         
3.6396    6.0624         
3.72154  0.265548         
3.58253  0.757988         
3.70513   1.60328         
4.43974   2.24621         
3.87679   2.71954         
3.60069   2.81797         
4.28093   3.76646         
4.9965 0.0778837         
4.39096  0.691835         
4.76547  0.657906         
5.2247   1.06901         
5.0893    2.1496         
5.52223   2.76756         
4.62375   3.36746         
3.93867    3.7317         
timestep = 0.3
vx        vy
0.779111   5.60814         
0.279827   5.85248         
0.0977781  0.614559         
7.45446   1.23233         
7.78719   1.75696         
7.585   2.54238         
7.36025   2.47365         
7.8822   4.55417         
0.843354   5.31925         
1.02639  0.371032         
0.798893  0.962179         
1.24071   1.42731         
0.882941   1.78827         
1.18176   2.48253         
0.795292   3.12209         
1.07973    3.1987         
1.88002   6.05665         
1.93608  0.437328         
2.17886  0.921556         
1.82868   1.43892         
1.92204   2.46893         
1.72904   2.27757         
2.51062   2.75648         
1.44405   2.87658         
2.68265   5.67944         
3.09457  0.212204         
2.39253   0.85368         
2.98411   1.53245         
2.97922   2.45785         
3.06292   2.47626         
3.19744   2.94887         
3.19922   3.64861         
3.60996   5.79205         
3.56971 0.0816405         
3.51615   0.64984         
3.70254     1.405         
4.52792   2.06397         
3.84752   2.63949         
3.42035   2.68639         
4.06367    3.5677         
4.814630.00808612         
4.09687  0.446602         
4.56809  0.589798         
5.0507  0.957564         
5.09812   2.00762         
5.35877   2.69026         
4.40675   3.27183         
4.06974   3.59798         
timestep = 0.4
vx        vy
0.486275   5.42838         
0.831235  0.170622         
7.8782  0.450425         
7.16558   1.30737         
7.82257    1.6684         
7.39839   2.39286         
7.13302   2.12762         
7.64144    3.7801         
0.650613   5.14081         
0.956235  0.202679         
0.722473  0.824255         
1.13792   1.30108         
0.757809   1.63188         
1.09891   2.32188         
0.708502    3.0095         
0.989911   3.03673         
2.06941   5.81503         
1.82879  0.282195         
2.08447  0.790437         
