timestep = 0
edge1	edge2
1	12	
12	1	
1	2	
2	1	
2	9	
9	2	
8	9	
9	8	
8	11	
11	8	
11	12	
12	11	
25	198	
26	198	
25	27	
27	25	
26	27	
27	26	
21	22	
22	21	
21	25	
25	21	
22	23	
23	22	
23	27	
27	23	
28	32	
32	28	
28	36	
36	28	
31	32	
32	31	
31	40	
40	31	
36	37	
37	36	
37	39	
39	37	
39	40	
40	39	
24	106	
24	41	
41	24	
41	2	
3	10	
10	3	
3	16	
16	3	
10	47	
47	10	
14	16	
16	14	
14	48	
48	14	
47	48	
48	47	
4	18	
18	4	
4	15	
15	4	
14	15	
15	14	
18	49	
49	18	
48	49	
49	48	
17	19	
19	17	
17	50	
50	17	
18	19	
19	18	
49	50	
50	49	
51	53	
53	51	
51	52	
52	51	
52	54	
54	52	
53	55	
55	53	
54	55	
55	54	
20	21	
21	20	
20	54	
54	20	
22	52	
52	22	
26	106	
6	199	
6	20	
20	6	
61	64	
64	61	
61	62	
62	61	
62	66	
66	62	
63	64	
64	63	
63	65	
65	63	
65	66	
66	65	
4	44	
44	4	
15	64	
64	15	
44	45	
45	44	
45	61	
61	45	
16	63	
63	16	
3	7	
7	3	
7	65	
65	7	
7	38	
38	7	
31	66	
66	31	
38	40	
40	38	
29	68	
68	29	
29	34	
34	29	
34	67	
67	34	
67	68	
68	67	
69	70	
70	69	
69	164	
70	125	
8	69	
69	8	
9	70	
70	9	
2	41	
57	60	
60	57	
57	73	
73	57	
60	71	
71	60	
71	73	
73	71	
28	72	
72	28	
30	32	
32	30	
30	58	
58	30	
57	58	
58	57	
72	73	
73	72	
77	78	
78	77	
77	79	
79	77	
78	82	
82	78	
79	80	
80	79	
80	81	
81	80	
81	82	
82	81	
38	42	
42	38	
39	77	
77	39	
42	78	
78	42	
37	79	
79	37	
35	80	
80	35	
35	36	
36	35	
11	87	
87	11	
85	165	
85	87	
87	85	
29	30	
30	29	
33	34	
34	33	
33	96	
96	33	
58	59	
59	58	
59	97	
97	59	
96	97	
97	96	
99	145	
98	145	
98	100	
100	98	
99	100	
100	99	
56	95	
95	56	
56	98	
98	56	
59	100	
100	59	
95	97	
97	95	
