timestep = 0
vx	vy
5.72557	9.42395	
6.63204	9.20876	
6.22828	5.09197	
8.90278	4.92304	
8.77741	4.96896	
9.42278	7.24156	
1.05325	9.73828	
8.1667	3.83336	
5.8567	4.04523	
6.60231	3.8306	
4.15789	6.1186	
6.50205	7.88139	
4.90507	7.12365	
4.96341	7.39081	
4.8878	7.90492	
4.21471	6.5472	
2.32729	7.44461	
2.45705	7.09655	
3.83385	7.29256	
3.78294	7.73054	
6.62384	4.88318	
6.89227	4.07762	
7.50476	4.13697	
7.31964	4.08751	
7.37782	5.89314	
5.02989	4.61439	
4.25641	5.56043	
4.25323	5.9418	
9.71935	6.51092	
9.97402	6.03843	
9.99352	5.9069	
1.64159	7.5615	
1.04293	6.96436	
0.9446	9.79144	
9.58477	8.32282	
9.09093	7.41277	
9.56068	8.6404	
9.87301	9.70183	
7.72464	8.11155	
6.78182	9.03523	
6.6915	9.21676	
8.7334	3.59356	
8.21287	3.76163	
8.29109	2.49767	
1.36801	3.51573	
1.22775	2.36791	
9.4394	3.46598	
9.30147	4.39428	
4.00884	5.22131	
2.48778	6.73458	
2.77719	6.12643	
1.21306	6.42435	
3.60343	8.1152	
1.06135	9.73576	
7.47421	5.79083	
7.1613	5.17361	
7.60964	4.5515	
8.28363	5.61745	
8.43241	5.29468	
6.06301	5.26618	
6.0191	5.31209	
6.93926	5.85021	
9.59892	5.98732	
9.14716	6.47727	
8.76327	7.33993	
8.71492	6.66066	
7.51502	7.91727	
8.53579	6.00434	
8.47615	5.99784	
7.09674	7.88454	
7.09865	7.52362	
7.04365	7.80987	
7.02808	7.80007	
9.50415	8.81844	
9.51176	8.76774	
9.32745	8.71923	
8.24265	8.90717	
7.09795	9.26858	
8.50163	9.72059	
8.52146	9.47811	
8.48567	9.37581	
0.314996	9.89931	
6.57882	3.33597	
1.60121	3.1675	
1.62964	3.08579	
0.199547	1.62206	
9.94045	0.893063	
9.6686	3.22262	
9.36425	2.24731	
